NICKstateNAME                   2007/ind/igate224.tou 20070112
WMWA --- Willy Mwangi           72 1784 20050327
MMAR --- Mwaka Martin           42 1784 20030608
SSIM --- Sandie Simonis         27 1781 20040628
ASAM --- Asare Samson           24 1781 20060924
NESA --- Niyi Esan              24 1780 20000423
DOMU --- Dennis Omulo           24 1779 20021020
EBOA --- Edwin Boama            24 1779 19980412
TKOO --- Thacha Koowirat        40 1777 20061205
TWIC --- Thepparit Wichaya      80 1776 20040628
RPUR --- Ricky Purnomo         292 1774 20061205
ATAN --- Austin Tan Kiat        44 1771 19990627
PSHA --- Peter Shaw             17 1771 20061129
VBER --- Victor Berdie          24 1770 20000423
RONA --- Robbie Onate          197 1768 20061205
GLOC --- Graeme Lock Lee        44 1768 20061129
MSTA --- Margaret Staunton      16 1768 20030630
ORIV --- Oscar Rivera          109 1767 20061205
KSWA --- Kathy Swan             16 1767 20030630
NSAL --- Norbert Saldanha       82 1766 19990815
JNAN --- Jim Nanavati           45 1766 19991106
SGIL --- Simon Gillam           12 1765 20061201
JLOR --- Jocelyn Lor           396 1764 20061205
LFAG --- Liz Fagerlund         162 1764 20050626
LPRA --- Linda Pray             59 1764 19991106
MDE  --- Margarida de Souza     24 1763 20011216
SATT --- Solomon Attachey       24 1763 19980412
BAMU --- Benard Amuke           66 1761 20041003
LLI  --- Lim Li Wei             87 1760 20061205
KKIA --- Korakoch Kiatsommart   27 1759 20040628
PSOD --- Paul Sodje             24 1758 20000423
JWID --- Jeff Widergren         18 1758 19951026
RFIN --- Ros Finn               24 1754 19980412
NWAG --- Njihia Wagachiru       24 1752 20021020
AMAL --- Antonio Malonzo       238 1751 20061205
GCHE --- Gan Cher Siong        209 1751 20061205
ATAM --- Adrian Tamas           27 1751 20060702
DLEB --- Denise Lebron          24 1751 19980412
JKAT --- Jason Katz-Brown       24 1751 20051119
NPRA --- Nakul Prabhu           72 1749 20070112
MREC --- Mario Recedes          24 1749 20031023
NGIL --- Neville Giloi          24 1749 19980412
JSNG --- Joshua Sng             40 1747 20061201
KPOK --- Kwame Poku             24 1746 20011216
RCHA --- Ranganathan Chakrav   168 1745 20070112
SBRO --- Steven Brown           72 1745 20061106
ACLO --- Aaron Clottey          24 1745 20011216
RSHA --- Rocky Sharma            8 1745 20061128
LWAN --- Lakshan Wanni         198 1743 20070112
MMCP --- Marcia McPhee          21 1743 20031228
PSCH --- Pat Schuberg           19 1742 20061129
GFOS --- Glenda Foster          56 1739 20041126
KACH --- Kojo Acheampong        48 1739 20060924
BWIT --- Benjamin Withers       41 1739 20050703
